========================================================
  Multi-seed benchmark: ms=3, 2M steps
  Algos: ['PPO']
  Seeds: [0, 1, 42]
  Total runs: 3
  Started: 2026-03-03 07:29:13
========================================================

--------------------------------------------------------
  [1/3]  PPO  seed=0
  07:29:13
--------------------------------------------------------

=======================================================
  billiards-rl — PPO  |  2,000,000 steps  |  seed 0  |  env multi3(ms=3)
  exp_dir : logs/experiments/PPO_2000k_s0_multi3_ms3_sp0.1_tp1.0_20260303_072913
=======================================================

[1/3] Random agent baseline (500 episodes)...
      Random pocket rate: 8.6%  (avg 0.26/3 balls)

[2/3] Training PPO — 2,000,000 steps × 10 envs ...
/Users/yj/Documents/billiards-rl/.venv/lib/python3.13/site-packages/stable_baselines3/common/callbacks.py:418: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.subproc_vec_env.SubprocVecEnv object at 0x11545e510> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x116bf5a90>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
[ETA] step 1,870,000 / 2,000,000 (93.5%)  elapsed 12.3m  ETA 00:00:51  fps 2541
[ETA] step 1,880,000 / 2,000,000 (94.0%)  elapsed 12.3m  ETA 00:00:47  fps 2544
[ETA] step 1,890,000 / 2,000,000 (94.5%)  elapsed 12.4m  ETA 00:00:43  fps 2548
[ETA] step 1,900,000 / 2,000,000 (95.0%)  elapsed 12.4m  ETA 00:00:39  fps 2551
[ETA] step 1,910,000 / 2,000,000 (95.5%)  elapsed 12.5m  ETA 00:00:35  fps 2554
[ETA] step 1,920,000 / 2,000,000 (96.0%)  elapsed 12.5m  ETA 00:00:31  fps 2557
[ETA] step 1,930,000 / 2,000,000 (96.5%)  elapsed 12.6m  ETA 00:00:27  fps 2560
[ETA] step 1,940,000 / 2,000,000 (97.0%)  elapsed 12.6m  ETA 00:00:23  fps 2564
[ETA] step 1,950,000 / 2,000,000 (97.5%)  elapsed 12.7m  ETA 00:00:19  fps 2567
[ETA] step 1,960,000 / 2,000,000 (98.0%)  elapsed 12.7m  ETA 00:00:15  fps 2569
[ETA] step 1,970,000 / 2,000,000 (98.5%)  elapsed 12.8m  ETA 00:00:11  fps 2570
[ETA] step 1,980,000 / 2,000,000 (99.0%)  elapsed 12.8m  ETA 00:00:07  fps 2572
[ETA] step 1,990,000 / 2,000,000 (99.5%)  elapsed 12.9m  ETA 00:00:03  fps 2575
[ETA] step 2,000,000 / 2,000,000 (100.0%)  elapsed 12.9m  ETA 00:00:00  fps 2577

[3/3] Evaluating best PPO checkpoint (500 episodes)...

  ─────────────────────────────────────────────
  PPO pocket rate  : 6.5%
  Clear rate (all 3): 0.0%
  Random            : 8.6%
  Improvement       : -2.1pp
  Training time     : 13.0 min  (2568 fps)
  Saved → logs/experiments/PPO_2000k_s0_multi3_ms3_sp0.1_tp1.0_20260303_072913
  TensorBoard → tensorboard --logdir logs/tensorboard
  -> saved: logs/experiments/PPO_2000k_s0_multi3_ms3_sp0.1_tp1.0_20260303_072913

--------------------------------------------------------
  [2/3]  PPO  seed=1
  07:42:20
--------------------------------------------------------

=======================================================
  billiards-rl — PPO  |  2,000,000 steps  |  seed 1  |  env multi3(ms=3)
  exp_dir : logs/experiments/PPO_2000k_s1_multi3_ms3_sp0.1_tp1.0_20260303_074220
=======================================================

[1/3] Random agent baseline (500 episodes)...
      Random pocket rate: 10.0%  (avg 0.30/3 balls)

[2/3] Training PPO — 2,000,000 steps × 10 envs ...
/Users/yj/Documents/billiards-rl/.venv/lib/python3.13/site-packages/stable_baselines3/common/callbacks.py:418: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.subproc_vec_env.SubprocVecEnv object at 0x110a4a5d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x1154e8910>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
[ETA] step   10,000 / 2,000,000 (0.5%)  elapsed 0.1m  ETA 00:14:19  fps 2316
[ETA] step   20,000 / 2,000,000 (1.0%)  elapsed 0.1m  ETA 00:13:55  fps 2369
[ETA] step   30,000 / 2,000,000 (1.5%)  elapsed 0.2m  ETA 00:13:57  fps 2351
[ETA] step   40,000 / 2,000,000 (2.0%)  elapsed 0.3m  ETA 00:13:47  fps 2370
[ETA] step   50,000 / 2,000,000 (2.5%)  elapsed 0.4m  ETA 00:13:40  fps 2377
[ETA] step   60,000 / 2,000,000 (3.0%)  elapsed 0.4m  ETA 00:13:33  fps 2384
[ETA] step   70,000 / 2,000,000 (3.5%)  elapsed 0.5m  ETA 00:13:26  fps 2393
[ETA] step   80,000 / 2,000,000 (4.0%)  elapsed 0.6m  ETA 00:13:21  fps 2396
[ETA] step   90,000 / 2,000,000 (4.5%)  elapsed 0.6m  ETA 00:13:17  fps 2396
[ETA] step  100,000 / 2,000,000 (5.0%)  elapsed 0.7m  ETA 00:13:12  fps 2397
[ETA] step  110,000 / 2,000,000 (5.5%)  elapsed 0.8m  ETA 00:13:11  fps 2387
